Latitude	Longitude	ISO2	Timezone	State	ZipCode	City
51.396148	12.389274	DE	Europe/Berlin	Saxony	04356	Leipzig
51.423340	12.223423	DE	Europe/Berlin	Saxony	04435	Schkeuditz
51.429786	6.775906	DE	Europe/Berlin	North Rhine-Westphalia	47051	Duisburg
51.431341	6.886510	DE	Europe/Berlin	North Rhine-Westphalia	45468	Mülheim an der Ruhr
51.451351	7.014795	DE	Europe/Berlin	North Rhine-Westphalia	45127	Essen
51.459666	13.516827	DE	Europe/Berlin	Brandenburg	04910	Elsterwerda
51.459675	13.516432	DE	Europe/Berlin	Brandenburg	04910	Elsterwerda
51.474876	6.851587	DE	Europe/Berlin	North Rhine-Westphalia	46045	Oberhausen
51.477509	11.987088	DE	Europe/Berlin	Saxony-Anhalt	06112	Halle (Saale)
51.478606	7.223273	DE	Europe/Berlin	North Rhine-Westphalia	44787	Bochum
51.492953	9.163846	DE	Europe/Berlin	North Rhine-Westphalia	34414	Warburg
51.504900	7.102458	DE	Europe/Berlin	North Rhine-Westphalia	45879	Gelsenkirchen
51.517898	7.459293	DE	Europe/Berlin	North Rhine-Westphalia	44147	Dortmund
51.531256	7.165787	DE	Europe/Berlin	North Rhine-Westphalia	44652	Herne
51.536811	9.926068	DE	Europe/Berlin	Lower Saxony	37073	Göttingen
51.578422	8.104593	DE	Europe/Berlin	North Rhine-Westphalia	59494	Soest
51.616357	7.203487	DE	Europe/Berlin	North Rhine-Westphalia	45657	Recklinghausen
51.622856	12.316848	DE	Europe/Berlin	Saxony-Anhalt	06749	Bitterfeld-Wolfen
51.670688	8.348785	DE	Europe/Berlin	North Rhine-Westphalia	59555	Lippstadt
51.678077	7.807823	DE	Europe/Berlin	North Rhine-Westphalia	59077	Lerche
51.703139	9.986620	DE	Europe/Berlin	Lower Saxony	37154	Northeim
51.712982	8.740508	DE	Europe/Berlin	North Rhine-Westphalia	33102	Paderborn
51.750952	14.324158	DE	Europe/Berlin	Brandenburg	03048	Cottbus/Chóśebuz
51.751932	11.989353	DE	Europe/Berlin	Saxony-Anhalt	06369	Köthen
51.766432	8.943323	DE	Europe/Berlin	North Rhine-Westphalia	33184	Altenbeken
51.839865	12.234948	DE	Europe/Berlin	Saxony-Anhalt	06842	Dessau-Roßlau
51.851425	9.967796	DE	Europe/Berlin	Lower Saxony	37574	Einbeck
51.862167	13.960903	DE	Europe/Berlin	Brandenburg	03222	Lübbenau/Spreewald
51.867812	12.662286	DE	Europe/Berlin	Saxony-Anhalt	06886	Wittenberg
51.901261	6.137358	NL	Europe/Amsterdam	Gelderland	6909DH	Zevenaar
51.906942	8.385074	DE	Europe/Berlin	North Rhine-Westphalia	33330	Gütersloh
51.939735	13.877178	DE	Europe/Berlin	Brandenburg	15907	Lübben (Spreewald)
51.956563	7.635716	DE	Europe/Berlin	North Rhine-Westphalia	48143	Münster
51.981418	9.817775	DE	Europe/Berlin	Lower Saxony	31061	Alfeld (Leine)
51.984780	5.901004	NL	Europe/Amsterdam	Gelderland	6811KJ	Arnhem
52.029258	8.532722	DE	Europe/Berlin	North Rhine-Westphalia	33602	Bielefeld
52.074142	23.601223	PL	Europe/Warsaw	Lublin Voivodeship	-	Terespol
52.089396	5.109864	NL	Europe/Amsterdam	Utrecht	3521AZ	Utrecht
52.098898	23.673856	BY	Europe/Minsk	Brest Region	224004	Brest
52.100435	23.680679	BY	Europe/Minsk	Brest Region	224004	Brest
52.119609	8.663641	DE	Europe/Berlin	North Rhine-Westphalia	32052	Herford
52.120148	9.746895	DE	Europe/Berlin	Lower Saxony	31008	Elze
52.130351	11.626890	DE	Europe/Berlin	Saxony-Anhalt	39104	Magdeburg
52.153642	5.373239	NL	Europe/Amsterdam	Utrecht	3818LE	Amersfoort
52.160627	9.953494	DE	Europe/Berlin	Lower Saxony	31137	Hildesheim
52.202076	8.573875	DE	Europe/Berlin	North Rhine-Westphalia	32257	Bünde
52.205393	8.796520	DE	Europe/Berlin	North Rhine-Westphalia	32545	Bad Oeynhausen
52.209429	5.967489	NL	Europe/Amsterdam	Gelderland	7311NW	Apeldoorn
52.219974	20.965244	PL	Europe/Warsaw	Masovian Voivodeship	02-353	Warsaw
52.222086	11.010554	DE	Europe/Berlin	Lower Saxony	38350	Helmstedt
52.224729	21.001417	PL	Europe/Warsaw	Masovian Voivodeship	02-007	Warsaw
52.226670	5.181400	NL	Europe/Amsterdam	North Holland	1211EX	Hilversum
52.226958	19.348615	PL	Europe/Warsaw	Łódź Voivodeship	99-310	Kutno
52.228864	21.003233	PL	Europe/Warsaw	Masovian Voivodeship	00-024	Warsaw
52.231399	18.253333	PL	Europe/Warsaw	Greater Poland Voivodeship	-	Konin
52.242509	15.818093	PL	Europe/Warsaw	Lubusz Voivodeship	-	Zbąszynek
52.245143	15.539535	PL	Europe/Warsaw	Lubusz Voivodeship	66-200	Świebodzin
52.251544	21.052332	PL	Europe/Warsaw	Masovian Voivodeship	03-802	Warsaw
52.252218	10.540292	DE	Europe/Berlin	Lower Saxony	38102	Brunswick
52.257432	6.160505	NL	Europe/Amsterdam	Overijssel	7411 HB	Deventer
52.261854	6.793723	NL	Europe/Amsterdam	Overijssel	7551CN	Hengelo
52.272848	8.061777	DE	Europe/Berlin	Lower Saxony	49084	Osnabrück
52.276300	7.434258	DE	Europe/Berlin	North Rhine-Westphalia	48431	Rheine
52.276866	7.721482	DE	Europe/Berlin	North Rhine-Westphalia	49477	Ibbenbüren
52.290134	8.934729	DE	Europe/Berlin	North Rhine-Westphalia	32423	Minden
52.296634	13.631476	DE	Europe/Berlin	Brandenburg	15711	Königs Wusterhausen
52.308787	4.761487	NL	Europe/Amsterdam	North Holland	1118AP	Haarlemmermeer
52.309111	7.039758	DE	Europe/Berlin	Lower Saxony	48455	Bad Bentheim
52.309848	7.158541	DE	Europe/Berlin	Lower Saxony	48455	Bad Bentheim
52.316895	9.792866	DE	Europe/Berlin	Lower Saxony	30880	Laatzen
52.318945	10.232142	DE	Europe/Berlin	Lower Saxony	31224	Peine
52.321174	14.576404	DE	Europe/Berlin	Brandenburg	15236	Frankfurt (Oder)
52.323161	9.798206	DE	Europe/Berlin	Lower Saxony	30521	Hanover
52.323556	4.936552	NL	Europe/Amsterdam	North Holland	1115BZ	Ouder-Amstel
52.336420	14.546497	DE	Europe/Berlin	Brandenburg	15236	Frankfurt (Oder)
52.350218	14.815076	PL	Europe/Warsaw	Lubusz Voivodeship	-	Rzepin
52.357284	6.654813	NL	Europe/Amsterdam	Overijssel	7604TZ	Almelo
52.375244	5.218768	NL	Europe/Amsterdam	Flevoland	1315KT	Almere
52.376763	9.741016	DE	Europe/Berlin	Lower Saxony	30159	Hanover
52.379190	4.899426	NL	Europe/Amsterdam	North Holland	1012AB	Amsterdam
52.391703	13.066782	DE	Europe/Berlin	Brandenburg	14473	Potsdam
52.400558	12.566137	DE	Europe/Berlin	Brandenburg	14776	Brandenburg an der Havel
52.401996	16.910866	PL	Europe/Warsaw	Greater Poland Voivodeship	61-586	Poznań
52.410248	16.905365	PL	Europe/Warsaw	Greater Poland Voivodeship	60-841	Poznań
52.421053	13.179336	DE	Europe/Berlin	Berlin	14109	Wannsee
52.429494	10.787783	DE	Europe/Berlin	Lower Saxony	38440	Wolfsburg
52.440281	9.725429	DE	Europe/Berlin	Lower Saxony	30853	Langenhagen
52.475042	13.365314	DE	Europe/Berlin	Berlin	10829	Schöneberg
52.509894	13.496925	DE	Europe/Berlin	Berlin	10317	Rummelsburg
52.510972	13.434567	DE	Europe/Berlin	Berlin	10243	Fhain
52.519863	7.321731	DE	Europe/Berlin	Lower Saxony	49808	Lingen (Ems)
52.520501	13.386987	DE	Europe/Berlin	Berlin	10117	Berlin
52.525589	13.369548	DE	Europe/Berlin	Berlin	10557	Moabit
52.529652	17.602182	PL	Europe/Warsaw	Greater Poland Voivodeship	62-210	Gniezno
52.534470	13.197530	DE	Europe/Berlin	Berlin	13597	Spandau
52.548961	13.388515	DE	Europe/Berlin	Berlin	13357	Gesundbrunnen
52.594725	11.854407	DE	Europe/Berlin	Saxony-Anhalt	39576	Stendal
52.604775	8.380337	DE	Europe/Berlin	Lower Saxony	49356	Diepholz
52.621171	10.062704	DE	Europe/Berlin	Lower Saxony	29221	Celle
52.645568	9.217754	DE	Europe/Berlin	Lower Saxony	31582	Nienburg (Weser)
52.675834	13.592292	DE	Europe/Berlin	Brandenburg	16321	Bernau
52.696024	7.298018	DE	Europe/Berlin	Lower Saxony	49716	Meppen
52.804947	18.244057	PL	Europe/Warsaw	Kuyavian-Pomeranian Voivodeship	88-110	Inowrocław
52.834018	13.797057	DE	Europe/Berlin	Brandenburg	16225	Eberswalde
52.920818	9.237854	DE	Europe/Berlin	Lower Saxony	27283	Verden (Aller)
52.969782	10.553057	DE	Europe/Berlin	Lower Saxony	29525	Uelzen
53.003114	11.762870	DE	Europe/Berlin	Brandenburg	19322	Wittenberge
53.015222	13.996357	DE	Europe/Berlin	Brandenburg	16278	Angermünde
53.052788	8.629761	DE	Europe/Berlin	Lower Saxony	27749	Delmenhorst
53.078246	10.574137	DE	Europe/Berlin	Lower Saxony	29549	Bad Bevensen
53.083477	8.813833	DE	Europe/Berlin	Free and Hanseatic City of Bremen	28195	Bremen
53.089707	7.386705	DE	Europe/Berlin	Lower Saxony	26871	Papenburg
53.109429	8.460952	DE	Europe/Berlin	Lower Saxony	27798	Hude (Oldenburg)
53.118751	26.046334	BY	Europe/Minsk	Brest Region	225404	Барановичи
53.135111	17.991640	PL	Europe/Warsaw	Kuyavian-Pomeranian Voivodeship	85-059	Bydgoszcz
53.142608	26.027079	BY	Europe/Minsk	Brest Region	225408	Барановичи
53.144325	8.222711	DE	Europe/Berlin	Lower Saxony	26123	Oldenburg
53.182547	8.003123	DE	Europe/Berlin	Lower Saxony	26160	Bad Zwischenahn
53.202162	7.886470	DE	Europe/Berlin	Lower Saxony	26655	Westerstede
53.220886	7.759659	DE	Europe/Berlin	Lower Saxony	26689	Apen
53.231647	7.465280	DE	Europe/Berlin	Lower Saxony	26789	Leer
53.249652	10.419891	DE	Europe/Berlin	Lower Saxony	21337	Lüneburg
53.321611	13.866535	DE	Europe/Berlin	Brandenburg	17291	Prenzlau
53.334672	11.494488	DE	Europe/Berlin	Mecklenburg-Vorpommern	19288	Ludwigslust
53.344470	7.186174	DE	Europe/Berlin	Lower Saxony	26723	Emden
53.359257	13.074603	DE	Europe/Berlin	Mecklenburg-Vorpommern	17235	Neustrelitz
53.369038	7.195172	DE	Europe/Berlin	Lower Saxony	26723	Emden
53.455909	9.991698	DE	Europe/Berlin	Hamburg	21079	Hamburg
53.474976	10.623299	DE	Europe/Berlin	Schleswig-Holstein	21514	Büchen
53.489835	10.206172	DE	Europe/Berlin	Hamburg	21029	Hamburg
53.515355	13.988878	DE	Europe/Berlin	Mecklenburg-Vorpommern	17309	Pasewalk
53.520892	7.270727	DE	Europe/Berlin	Lower Saxony	26529	Marienhafe
53.521513	12.680678	DE	Europe/Berlin	Mecklenburg-Vorpommern	17192	Waren (Müritz)
53.552696	9.935174	DE	Europe/Berlin	Hamburg	22765	Hamburg
53.552732	10.006908	DE	Europe/Berlin	Hamburg	20099	Hamburg
53.557110	9.997434	DE	Europe/Berlin	Hamburg	20095	Hamburg
53.560751	9.989568	DE	Europe/Berlin	Hamburg	20354	Hamburg
53.588195	7.218913	DE	Europe/Berlin	Lower Saxony	26506	Norden
53.621581	7.160825	DE	Europe/Berlin	Lower Saxony	26506	Norden
53.624313	7.158802	DE	Europe/Berlin	Lower Saxony	26506	Norden
53.634741	11.407455	DE	Europe/Berlin	Mecklenburg-Vorpommern	19053	Schwerin
53.766972	11.466927	DE	Europe/Berlin	Mecklenburg-Vorpommern	23996	Bad Kleinen
53.837115	11.998190	DE	Europe/Berlin	Mecklenburg-Vorpommern	18246	Bützow
53.856100	13.701825	DE	Europe/Berlin	Mecklenburg-Vorpommern	17389	Anklam
53.867543	10.669818	DE	Europe/Berlin	Schleswig-Holstein	23558	Lübeck
53.868712	27.651025	BY	Europe/Minsk	-	220021	Minsk
53.890736	27.550643	BY	Europe/Minsk	-	220006	Minsk
53.923870	9.510290	DE	Europe/Berlin	Schleswig-Holstein	25524	Itzehoe
53.973877	13.548191	DE	Europe/Berlin	Mecklenburg-Vorpommern	17495	Züssow
