Flags	ID	Name	Latitude	Longitude
R	5603738	Kuty(Gr)	48.711367	16.999905
R	5603743	Szob(Gr)	47.824896	18.844770
NDR	5603745	Sturovo	47.800121	18.679917
ND	5696001	BRATISLAVA	48.154135	17.097851
ND	5696001	POZSONY	48.154135	17.097851
ND	7400004	Malmö Central	55.609230	13.001260
NDR	7800020	Zagreb Glavni Kolod.	45.804453	15.978478
N	7896001	AGRAM	45.807411	15.990290
ND	7896001	ZAGREB	45.807411	15.990290
NDR	7900001	Jesenice(SL)	46.436350	14.053304
NDR	7900002	Lesce-Bled	46.360427	14.157632
NDR	7900003	Ljubljana	46.058686	14.512940
NDR	7900004	Zidani Most	46.085267	15.170708
NDR	7900014	Kranj	46.239010	14.348168
NDR	7900017	Dobova	45.898804	15.654552
NDR	7900018	Sevnica	46.009461	15.301024
NDR	7900030	Krsko	45.956227	15.493286
R	7900042	Dobova(Gr)	45.892251	15.698626
R	7900043	Jesenice(Gr)	46.481413	14.020331
NDR	8000001	Aachen Hbf	50.767802	6.091495
NDR	8000002	Aalen	48.841009	10.096270
NDR	8000004	Altenbeken	51.766432	8.943323
R	8000008	Kehl(Gr)	48.577742	7.799238
NDR	8000009	Ansbach	49.298030	10.578236
NDRG	8000010	Aschaffenburg Hbf	49.980554	9.143692
NDR	8000013	Augsburg Hbf	48.365444	10.885568
NDR	8000014	Aulendorf	47.953055	9.644050
NDRG	8000020	Bad Hersfeld	50.869632	9.716179
NDR	8000025	Bamberg	49.900757	10.899492
NDR	8000026	Basel Bad Bf	47.567292	7.607804
NDR	8000029	Bebra	50.969565	9.797783
NDR	8000031	Bensheim	49.681330	8.616717
NDR	8000036	Bielefeld Hbf	52.029258	8.532722
NDR	8000039	Bingen(Rhein) Hbf	49.968724	7.884258
NDR	8000041	Bochum Hbf	51.478606	7.223273
NDR	8000044	Bonn Hbf	50.732007	7.097136
NDR	8000045	Boppard Hbf	50.231416	7.586104
NDR	8000049	Braunschweig Hbf	52.252218	10.540292
NDRG	8000050	Bremen Hbf	53.083477	8.813833
NDR	8000055	Bruchsal	49.124619	8.589651
NDRG	8000057	Buchloe	48.033724	10.716220
NDR	8000058	Büchen	53.474976	10.623299
NDR	8000059	Bünde(Westf)	52.202076	8.573875
ND	8000064	Zelle	52.621171	10.062704
NDR	8000064	Celle	52.621171	10.062704
NDR	8000067	Crailsheim	49.137869	10.064322
NDRG	8000068	Darmstadt Hbf	49.872503	8.629635
NDRG	8000070	Delmenhorst	53.052788	8.629761
NDRG	8000073	Singen(Hohentwiel)	47.758438	8.840378
NDR	8000076	Soest	51.578422	8.104593
NDR	8000077	Donaueschingen	47.947787	8.498923
NDRG	8000078	Donauwörth	48.714028	10.771441
R	8000079	Puttgarden(MS)	54.502047	11.227904
NDR	8000080	Dortmund Hbf	51.517898	7.459293
NDR	8000082	Düsseldorf Flughafen	51.292008	6.786837
NDR	8000084	Düren	50.809512	6.482454
NDR	8000085	Düsseldorf Hbf	51.219960	6.794316
NDR	8000086	Duisburg Hbf	51.429786	6.775906
NDR	8000087	Solingen Hbf	51.160766	7.004187
ND	8000091	Gallmersgarten-Steinach(b Rothenburg o Tauber)	49.453220	10.273537
NDR	8000091	Steinach(b Rothenburg ob der Tauber)	49.453220	10.273537
NDR	8000093	Elze(Han)	52.120148	9.746895
NDR	8000095	Straubing	48.876975	12.574093
